d3d11:  d3d11h265dec: Direct3D11/DXVA H.265 Intel(R) UHD Graphics 620 Decoder
d3d11:  d3d11mpeg2dec: Direct3D11/DXVA MPEG2 Intel(R) UHD Graphics 620 Decoder
d3d11:  d3d11scale: Direct3D11 scaler
d3d11:  d3d11screencapturedeviceprovider (GstDeviceProviderFactory)
d3d11:  d3d11screencapturesrc: Direct3D11 screen capture src
d3d11:  d3d11upload: Direct3D11 uploader
d3d11:  d3d11videosink: Direct3D11 video sink
d3d11:  d3d11vp8dec: Direct3D11/DXVA VP8 Intel(R) UHD Graphics 620 Decoder
d3d11:  d3d11vp9dec: Direct3D11/DXVA VP9 Intel(R) UHD Graphics 620 Decoder
dash:  dashdemux: DASH Demuxer
dash:  dashsink: DASH Sink
debug:  breakmydata: Break my data
debug:  capssetter: CapsSetter
debug:  cpureport: CPU report
debug:  navseek: Seek based on left-right arrows
debug:  progressreport: Progress report
debug:  pushfilesrc: Push File Source
debug:  rndbuffersize: Random buffer size
debug:  taginject: TagInject
debug:  testsink: Test plugin
debugutilsbad:  checksumsink: Checksum sink
debugutilsbad:  chopmydata: Chop my data
debugutilsbad:  clockselect: Clock select
debugutilsbad:  compare: Compare buffers
debugutilsbad:  debugspy: DebugSpy
debugutilsbad:  errorignore: Convert some GstFlowReturn types into others
debugutilsbad:  fakeaudiosink: Fake Audio Sink
debugutilsbad:  fakevideosink: Fake Video Sink
debugutilsbad:  fpsdisplaysink: Measure and show framerate on videosink
debugutilsbad:  testsrcbin: Generic bin
debugutilsbad:  videocodectestsink: Video CODEC Test Sink
debugutilsbad:  watchdog: Watchdog
decklink:  decklinkaudiosink: Decklink Audio Sink
decklink:  decklinkaudiosrc: Decklink Audio Source
decklink:  decklinkdeviceprovider (GstDeviceProviderFactory)
decklink:  decklinkvideosink: Decklink Video Sink
decklink:  decklinkvideosrc: Decklink Video Source
deinterlace:  deinterlace: Deinterlacer
directsound:  directsoundsink: Direct Sound Audio Sink
directsound:  directsoundsinkdeviceprovider (GstDeviceProviderFactory)
directsoundsrc:  directsoundsrc: DirectSound audio source
directsoundsrc:  directsoundsrcdeviceprovider (GstDeviceProviderFactory)
dtls:  dtlsdec: DTLS Decoder
dtls:  dtlsenc: DTLS Encoder
dtls:  dtlssrtpdec: DTLS-SRTP Decoder
dtls:  dtlssrtpdemux: DTLS SRTP Demultiplexer
dtls:  dtlssrtpenc: DTLS-SRTP Encoder
dtmf:  dtmfsrc: DTMF tone generator
dtmf:  rtpdtmfdepay: RTP DTMF packet depayloader
dtmf:  rtpdtmfsrc: RTP DTMF packet generator
dtsdec:  dtsdec: DTS audio decoder
dv:  dvdec: DV video decoder
dv:  dvdemux: DV system stream demuxer
dvbsuboverlay:  dvbsuboverlay: DVB Subtitles Overlay
dvdlpcmdec:  dvdlpcmdec: DVD LPCM Audio decoder
dvdspu:  dvdspu: Sub-picture Overlay
dvdsub:  dvdsubdec: DVD subtitle decoder
dvdsub:  dvdsubparse: DVD subtitle parser
effectv:  agingtv: AgingTV effect
effectv:  dicetv: DiceTV effect
effectv:  edgetv: EdgeTV effect
effectv:  optv: OpTV effect
effectv:  quarktv: QuarkTV effect
effectv:  radioactv: RadioacTV effect
effectv:  revtv: RevTV effect
effectv:  rippletv: RippleTV effect
